FECHA,AÑO,PERIODO,EMPRESA,DEPARTAMENTO,ESTRATO,TARIFA
Ago-25,2025,8,CEO,Cauca,1,450.7597
Sep-25,2025,9,CEO,Cauca,1,451.5972
Oct-25,2025,10,CEO,Cauca,1,453.0627
Nov-25,2025,11,CEO,Cauca,1,453.9002
Dic-25,2025,12,CEO,Cauca,1,454.23
Ene-26,2026,1,CEO,Cauca,1,455.4255
Feb-26,2026,2,CEO,Cauca,1,460.8091
* Pesos corrientes,,,CEO,Cauca,1,0.011821033297432844
Mar-25,2025,3,CEO,Cauca,2,552.9441
Abr-25,2025,4,CEO,Cauca,2,555.8602
May-25,2025,5,CEO,Cauca,2,559.5241
Jun-25,2025,6,CEO,Cauca,2,561.3186
Jul-25,2025,7,CEO,Cauca,2,561.9168
Ago-25,2025,8,CEO,Cauca,2,563.4496
Sep-25,2025,9,CEO,Cauca,2,564.4964
Oct-25,2025,10,CEO,Cauca,2,566.3284
Nov-25,2025,11,CEO,Cauca,2,567.3752
Dic-25,2025,12,CEO,Cauca,2,567.79
Ene-26,2026,1,CEO,Cauca,2,569.2819
Feb-26,2026,2,CEO,Cauca,2,576.0114
* Pesos corrientes,,,CEO,Cauca,2,0.01182103277831252
Mar-25,2025,3,CEO,Cauca,3,875.7305
Abr-25,2025,4,CEO,Cauca,3,890.9901
May-25,2025,5,CEO,Cauca,3,841.1396
Jun-25,2025,6,CEO,Cauca,3,796.1648
Jul-25,2025,7,CEO,Cauca,3,777.146
Ago-25,2025,8,CEO,Cauca,3,785.3174
Sep-25,2025,9,CEO,Cauca,3,793.2444
Oct-25,2025,10,CEO,Cauca,3,802.7937
Nov-25,2025,11,CEO,Cauca,3,801.8135
Dic-25,2025,12,CEO,Cauca,3,792.91
Ene-26,2026,1,CEO,Cauca,3,795.3036
Feb-26,2026,2,CEO,Cauca,3,772.2797
* Pesos corrientes,,,CEO,Cauca,3,-0.02894982494735333
Mar-25,2025,3,CEO,Cauca,4,1030.2712
Abr-25,2025,4,CEO,Cauca,4,1048.2237
May-25,2025,5,CEO,Cauca,4,989.576
Jun-25,2025,6,CEO,Cauca,4,936.6645
Jul-25,2025,7,CEO,Cauca,4,914.2894
Ago-25,2025,8,CEO,Cauca,4,923.9028
Sep-25,2025,9,CEO,Cauca,4,933.2287
Oct-25,2025,10,CEO,Cauca,4,944.4632
Nov-25,2025,11,CEO,Cauca,4,943.31
Dic-25,2025,12,CEO,Cauca,4,932.84
Ene-26,2026,1,CEO,Cauca,4,935.6513
Feb-26,2026,2,CEO,Cauca,4,908.5644
* Pesos corrientes,,,CEO,Cauca,4,-0.02894978075699784
Mar-25,2025,3,CEO,Cauca,"5 y 6, Ind y Com",1236.3254
Abr-25,2025,4,CEO,Cauca,"5 y 6, Ind y Com",1257.8684
May-25,2025,5,CEO,Cauca,"5 y 6, Ind y Com",1187.4912
Jun-25,2025,6,CEO,Cauca,"5 y 6, Ind y Com",1123.9974
Jul-25,2025,7,CEO,Cauca,"5 y 6, Ind y Com",1097.1473
Ago-25,2025,8,CEO,Cauca,"5 y 6, Ind y Com",1108.6834
Sep-25,2025,9,CEO,Cauca,"5 y 6, Ind y Com",1119.8744
Oct-25,2025,10,CEO,Cauca,"5 y 6, Ind y Com",1133.3558
Nov-25,2025,11,CEO,Cauca,"5 y 6, Ind y Com",1131.972
Dic-25,2025,12,CEO,Cauca,"5 y 6, Ind y Com",1119.4
Ene-26,2026,1,CEO,Cauca,"5 y 6, Ind y Com",1122.7816
Feb-26,2026,2,CEO,Cauca,"5 y 6, Ind y Com",1090.2773
* Pesos corrientes,,,CEO,Cauca,"5 y 6, Ind y Com",-0.02894979753854183
Mar-25,2025,3,CHEC,Caldas,1,423.5559
Abr-25,2025,4,CHEC,Caldas,1,425.7897
May-25,2025,5,CHEC,Caldas,1,428.5961
Jun-25,2025,6,CHEC,Caldas,1,429.9706
Jul-25,2025,7,CHEC,Caldas,1,430.4289
Ago-25,2025,8,CHEC,Caldas,1,431.6031
Sep-25,2025,9,CHEC,Caldas,1,432.405
Oct-25,2025,10,CHEC,Caldas,1,433.8082
Nov-25,2025,11,CHEC,Caldas,1,434.6099
Dic-25,2025,12,CHEC,Caldas,1,434.925
Ene-26,2026,1,CHEC,Caldas,1,436.0706
Feb-26,2026,2,CHEC,Caldas,1,441.2254
* Pesos corrientes,,,CHEC,Caldas,1,0.011821021641908364
Mar-25,2025,3,CHEC,Caldas,2,529.4448
Abr-25,2025,4,CHEC,Caldas,2,532.2371
May-25,2025,5,CHEC,Caldas,2,535.7451
Jun-25,2025,6,CHEC,Caldas,2,537.4632
Jul-25,2025,7,CHEC,Caldas,2,538.0361
Ago-25,2025,8,CHEC,Caldas,2,539.5039
Sep-25,2025,9,CHEC,Caldas,2,540.5063
Oct-25,2025,10,CHEC,Caldas,2,542.2602
Nov-25,2025,11,CHEC,Caldas,2,543.2623
Dic-25,2025,12,CHEC,Caldas,2,543.6562
Ene-26,2026,1,CHEC,Caldas,2,545.0882
Feb-26,2026,2,CHEC,Caldas,2,551.5317
* Pesos corrientes,,,CHEC,Caldas,2,0.011821022726230309
Mar-25,2025,3,CHEC,Caldas,3,795.444
Abr-25,2025,4,CHEC,Caldas,3,824.0666
May-25,2025,5,CHEC,Caldas,3,823.1109
Jun-25,2025,6,CHEC,Caldas,3,824.1229
Jul-25,2025,7,CHEC,Caldas,3,768.5507
Ago-25,2025,8,CHEC,Caldas,3,802.7583
